"node1","node2","string_id1","string_id2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"G3NT23","G3Q4Z0","69293.ENSGACP00000008491","69293.ENSGACP00000024944",0,0,0,0.92,0.211,0.408,0.204,0.129,0.598
"G3NT23","G3P920","69293.ENSGACP00000008491","69293.ENSGACP00000014094",0,0,0,0,0.051,0.161,0.621,0.223,0.734
"G3NTD6","G3PHA5","69293.ENSGACP00000008604","69293.ENSGACP00000016980",0,0,0,0,0.313,0,0,0.269,0.476
"G3NTD6","G3PJV6","69293.ENSGACP00000008604","69293.ENSGACP00000017886",0,0,0,0,0.054,0.412,0,0.152,0.487
"G3NTD6","G3Q972","69293.ENSGACP00000008604","69293.ENSGACP00000026436",0.084,0,0,0,0.333,0,0,0.24,0.495
"G3NTD6","G3PDV0","69293.ENSGACP00000008604","69293.ENSGACP00000015774",0.11,0,0,0,0.325,0,0,0.231,0.497
"G3NTD6","G3PPN8","69293.ENSGACP00000008604","69293.ENSGACP00000019573",0.082,0,0,0,0.307,0,0,0.284,0.504
"G3NTD6","G3NW14","69293.ENSGACP00000008604","69293.ENSGACP00000009533",0,0,0,0,0.49,0,0,0.149,0.547
"G3NTD6","G3P6S6","69293.ENSGACP00000008604","69293.ENSGACP00000013300",0,0,0,0,0.094,0.329,0,0.389,0.596
"G3NTD6","G3P5V0","69293.ENSGACP00000008604","69293.ENSGACP00000012973",0.194,0,0,0,0.475,0,0,0.2,0.631
"G3NTD6","G3PM61","69293.ENSGACP00000008604","69293.ENSGACP00000018692",0,0,0,0,0.594,0,0,0.452,0.768
"G3NTD6","G3PKP7","69293.ENSGACP00000008604","69293.ENSGACP00000018177",0,0,0,0,0.555,0,0,0.536,0.784
"G3NTD6","G3Q0N5","69293.ENSGACP00000008604","69293.ENSGACP00000023430",0,0,0,0,0.591,0.109,0.309,0.271,0.791
"G3NTD6","G3QBU5","69293.ENSGACP00000008604","69293.ENSGACP00000027361",0,0,0,0,0.591,0.109,0.309,0.271,0.791
"G3NTD6","G3PQL2","69293.ENSGACP00000008604","69293.ENSGACP00000019897",0,0,0,0,0.134,0.726,0.52,0.427,0.926
"G3NTD6","G3NYB9","69293.ENSGACP00000008604","69293.ENSGACP00000010339",0,0,0,0,0.691,0.726,0.518,0.263,0.965
"G3NTD6","G3PLE8","69293.ENSGACP00000008604","69293.ENSGACP00000018429",0.085,0,0.447,0.589,0.816,0.836,0.515,0.697,0.99
"G3NTD6","G3NXQ8","69293.ENSGACP00000008604","69293.ENSGACP00000010128",0,0,0,0,0.77,0.844,0.52,0.571,0.991
"G3NU97","G3Q0N5","69293.ENSGACP00000008915","69293.ENSGACP00000023430",0,0,0,0,0.182,0,0,0.314,0.414
"G3NU97","G3QBU5","69293.ENSGACP00000008915","69293.ENSGACP00000027361",0,0,0,0,0.182,0,0,0.314,0.414
"G3NU97","G3QCC3","69293.ENSGACP00000008915","69293.ENSGACP00000027539",0,0,0,0,0.054,0.315,0.175,0,0.418
"G3NU97","G3P3G8","69293.ENSGACP00000008915","69293.ENSGACP00000012141",0,0,0,0,0.492,0,0,0.124,0.535
"G3NU97","G3PP78","69293.ENSGACP00000008915","69293.ENSGACP00000019411",0,0,0,0,0.823,0,0,0.124,0.838
"G3NU97","G3NXT2","69293.ENSGACP00000008915","69293.ENSGACP00000010152",0,0,0,0,0.183,0.732,0.621,0,0.909
"G3NU97","G3PHA5","69293.ENSGACP00000008915","69293.ENSGACP00000016980",0,0,0.246,0,0.758,0.726,0.366,0.474,0.98
"G3NU97","G3PJ10","69293.ENSGACP00000008915","69293.ENSGACP00000017589",0,0,0,0,0.728,0.87,0.48,0.642,0.992
"G3NU97","G3PDV0","69293.ENSGACP00000008915","69293.ENSGACP00000015774",0,0,0.211,0,0.962,0.892,0.621,0.746,0.999
"G3NU97","G3P5V0","69293.ENSGACP00000008915","69293.ENSGACP00000012973",0.044,0,0,0,0.992,0.892,0.621,0.76,0.999
"G3NU97","G3Q972","69293.ENSGACP00000008915","69293.ENSGACP00000026436",0,0,0,0,0.992,0.892,0.621,0.643,0.999
"G3NU97","G3PQX4","69293.ENSGACP00000008915","69293.ENSGACP00000020009",0,0,0,0,0.991,0.892,0.587,0.283,0.999
"G3NU97","G3PA34","69293.ENSGACP00000008915","69293.ENSGACP00000014458",0.099,0,0,0,0.992,0.892,0.621,0.135,0.999
"G3NU97","G3PCG6","69293.ENSGACP00000008915","69293.ENSGACP00000015290",0,0,0,0,0.962,0.892,0.621,0.435,0.999
"G3NU97","G3PP08","69293.ENSGACP00000008915","69293.ENSGACP00000019341",0,0,0,0,0.992,0.892,0.543,0.694,0.999
"G3NW14","G3PQL2","69293.ENSGACP00000009533","69293.ENSGACP00000019897",0,0,0,0,0,0,0,0.413,0.412
"G3NW14","G3PPP6","69293.ENSGACP00000009533","69293.ENSGACP00000019581",0.043,0,0,0,0.097,0.081,0,0.382,0.443
"G3NW14","G3PLE8","69293.ENSGACP00000009533","69293.ENSGACP00000018429",0,0,0,0,0.371,0,0,0.208,0.48
"G3NW14","G3P9S4","69293.ENSGACP00000009533","69293.ENSGACP00000014348",0,0,0,0,0.083,0,0,0.527,0.547
"G3NXQ8","G3Q0N5","69293.ENSGACP00000010128","69293.ENSGACP00000023430",0,0,0,0,0.298,0.108,0,0.167,0.432
"G3NXQ8","G3QBU5","69293.ENSGACP00000010128","69293.ENSGACP00000027361",0,0,0,0,0.298,0.108,0,0.167,0.432
"G3NXQ8","G3P9S4","69293.ENSGACP00000010128","69293.ENSGACP00000014348",0,0,0,0,0.565,0,0,0,0.565
"G3NXQ8","G3PM61","69293.ENSGACP00000010128","69293.ENSGACP00000018692",0,0,0,0,0.778,0,0,0.175,0.809
"G3NXQ8","G3PPN8","69293.ENSGACP00000010128","69293.ENSGACP00000019573",0,0,0,0,0.691,0.371,0,0.386,0.87
"G3NXQ8","G3PKP7","69293.ENSGACP00000010128","69293.ENSGACP00000018177",0,0,0,0,0.822,0.142,0,0.273,0.879
"G3NXQ8","G3PQL2","69293.ENSGACP00000010128","69293.ENSGACP00000019897",0,0,0,0,0.866,0.892,0.622,0.649,0.997
"G3NXQ8","G3NYB9","69293.ENSGACP00000010128","69293.ENSGACP00000010339",0,0,0,0,0.989,0.892,0.621,0.531,0.999
"G3NXQ8","G3PLE8","69293.ENSGACP00000010128","69293.ENSGACP00000018429",0,0,0,0,0.923,0.892,0.621,0.728,0.999
"G3NXT2","G3PJ10","69293.ENSGACP00000010152","69293.ENSGACP00000017589",0,0,0,0,0.147,0,0.505,0,0.559
"G3NXT2","G3PQX4","69293.ENSGACP00000010152","69293.ENSGACP00000020009",0,0,0,0,0.181,0,0.621,0,0.676
"G3NXT2","G3PP08","69293.ENSGACP00000010152","69293.ENSGACP00000019341",0,0,0,0,0.297,0,0.621,0,0.722
"G3NXT2","G3PHA5","69293.ENSGACP00000010152","69293.ENSGACP00000016980",0,0,0,0,0.567,0,0,0.397,0.727
"G3NXT2","G3PCG6","69293.ENSGACP00000010152","69293.ENSGACP00000015290",0,0,0,0,0.089,0.611,0.621,0.077,0.859
"G3NXT2","G3PA34","69293.ENSGACP00000010152","69293.ENSGACP00000014458",0,0,0,0,0.168,0.691,0.621,0.051,0.895
"G3NXT2","G3PDV0","69293.ENSGACP00000010152","69293.ENSGACP00000015774",0,0,0,0,0.182,0.666,0.621,0.146,0.899
"G3NXT2","G3Q972","69293.ENSGACP00000010152","69293.ENSGACP00000026436",0,0,0,0,0.211,0.726,0.621,0.063,0.912
"G3NXT2","G3P5V0","69293.ENSGACP00000010152","69293.ENSGACP00000012973",0,0,0,0,0.472,0.726,0.621,0,0.94
"G3NXX5","G3PHA5","69293.ENSGACP00000010195","69293.ENSGACP00000016980",0,0,0,0,0.163,0.112,0.156,0.192,0.425
"G3NXX5","G3NYX9","69293.ENSGACP00000010195","69293.ENSGACP00000010550",0,0,0,0,0.054,0.335,0.053,0.174,0.442
"G3NXX5","G3PYA1","69293.ENSGACP00000010195","69293.ENSGACP00000022591",0,0,0,0,0.06,0.334,0.199,0.133,0.507
"G3NXX5","G3P3G8","69293.ENSGACP00000010195","69293.ENSGACP00000012141",0,0,0,0,0.055,0.278,0.12,0.281,0.51
"G3NXX5","G3P920","69293.ENSGACP00000010195","69293.ENSGACP00000014094",0,0,0,0,0.048,0.338,0.101,0.276,0.534
"G3NXX5","G3PP78","69293.ENSGACP00000010195","69293.ENSGACP00000019411",0,0,0,0,0.054,0.308,0.205,0.212,0.535
"G3NXX5","G3NZN3","69293.ENSGACP00000010195","69293.ENSGACP00000010806",0,0,0,0,0.06,0.334,0.315,0.152,0.587
"G3NXX5","G3Q289","69293.ENSGACP00000010195","69293.ENSGACP00000023988",0,0,0,0,0.054,0.703,0.19,0.334,0.828
"G3NYB9","G3PM61","69293.ENSGACP00000010339","69293.ENSGACP00000018692",0,0,0,0,0.444,0,0,0.323,0.607
"G3NYB9","G3PKP7","69293.ENSGACP00000010339","69293.ENSGACP00000018177",0,0,0,0,0.565,0,0,0.167,0.622
"G3NYB9","G3PLE8","69293.ENSGACP00000010339","69293.ENSGACP00000018429",0,0,0,0,0.832,0.883,0.621,0.29,0.994
"G3NYB9","G3PQL2","69293.ENSGACP00000010339","69293.ENSGACP00000019897",0,0,0,0,0.85,0.883,0.621,0.61,0.997
"G3NYX9","G3Q289","69293.ENSGACP00000010550","69293.ENSGACP00000023988",0,0,0,0,0.054,0.087,0.507,0.335,0.678
"G3NZN3","G3Q393","69293.ENSGACP00000010806","69293.ENSGACP00000024345",0,0,0,0,0,0.306,0,0.219,0.434
"G3NZN3","G3PVK4","69293.ENSGACP00000010806","69293.ENSGACP00000021643",0,0,0,0,0.054,0,0.365,0.139,0.437
"G3NZN3","G3Q3X8","69293.ENSGACP00000010806","69293.ENSGACP00000024582",0,0,0,0,0.054,0,0.365,0.139,0.437
"G3P3G8","G3P6S6","69293.ENSGACP00000012141","69293.ENSGACP00000013300",0,0,0,0,0.21,0.202,0,0.305,0.523
"G3P3G8","G3PHA5","69293.ENSGACP00000012141","69293.ENSGACP00000016980",0,0,0,0,0.468,0.135,0.043,0.116,0.558
"G3P3G8","G3PDV0","69293.ENSGACP00000012141","69293.ENSGACP00000015774",0,0,0,0,0.542,0,0,0.112,0.575
"G3P3G8","G3PJV6","69293.ENSGACP00000012141","69293.ENSGACP00000017886",0,0,0,0,0.211,0.202,0,0.441,0.617
"G3P3G8","G3PP78","69293.ENSGACP00000012141","69293.ENSGACP00000019411",0,0,0.232,0.821,0.991,0.882,0.621,0.775,0.999
"G3P5V0","G3QCC3","69293.ENSGACP00000012973","69293.ENSGACP00000027539",0,0,0,0,0.056,0.35,0.175,0,0.449
"G3P5V0","G3PP78","69293.ENSGACP00000012973","69293.ENSGACP00000019411",0,0,0,0,0.552,0,0,0.166,0.61
"G3P5V0","G3PHA5","69293.ENSGACP00000012973","69293.ENSGACP00000016980",0.176,0,0,0,0.688,0.726,0.366,0.232,0.959
"G3P5V0","G3PJ10","69293.ENSGACP00000012973","69293.ENSGACP00000017589",0,0,0,0,0.721,0.87,0.507,0.538,0.99
"G3P5V0","G3PCG6","69293.ENSGACP00000012973","69293.ENSGACP00000015290",0,0,0,0,0.962,0.892,0.621,0,0.998
"G3P5V0","G3PDV0","69293.ENSGACP00000012973","69293.ENSGACP00000015774",0.201,0,0,0,0.962,0.892,0.621,0.76,0.999
"G3P5V0","G3Q972","69293.ENSGACP00000012973","69293.ENSGACP00000026436",0.199,0,0,0,0.992,0.892,0.621,0.67,0.999
"G3P5V0","G3PQX4","69293.ENSGACP00000012973","69293.ENSGACP00000020009",0,0,0,0,0.99,0.892,0.621,0.236,0.999
"G3P5V0","G3PA34","69293.ENSGACP00000012973","69293.ENSGACP00000014458",0.139,0,0,0,0.992,0.892,0.621,0.167,0.999
"G3P5V0","G3PP08","69293.ENSGACP00000012973","69293.ENSGACP00000019341",0.199,0,0,0,0.992,0.892,0.621,0.284,0.999
"G3P6S6","G3PP78","69293.ENSGACP00000013300","69293.ENSGACP00000019411",0,0,0,0,0.21,0.202,0,0.223,0.467
"G3P6S6","G3PHA5","69293.ENSGACP00000013300","69293.ENSGACP00000016980",0,0,0,0,0.124,0,0.12,0.381,0.481
"G3P6S6","G3PJV6","69293.ENSGACP00000013300","69293.ENSGACP00000017886",0,0,0.449,0.925,0.122,0.136,0.434,0.487,0.563
"G3P8D8","G3PJV6","69293.ENSGACP00000013862","69293.ENSGACP00000017886",0,0,0,0,0.054,0.098,0.29,0.167,0.427
"G3P8D8","G3PP78","69293.ENSGACP00000013862","69293.ENSGACP00000019411",0,0,0,0,0.054,0.132,0.365,0,0.433
"G3P8D8","G3PCE1","69293.ENSGACP00000013862","69293.ENSGACP00000015265",0,0,0,0.917,0.211,0.408,0.204,0.129,0.598
"G3P8D8","G3P920","69293.ENSGACP00000013862","69293.ENSGACP00000014094",0,0,0,0,0.044,0.245,0.37,0.315,0.646
"G3P8Y4","G3PP08","69293.ENSGACP00000014058","69293.ENSGACP00000019341",0,0,0,0,0.691,0,0,0,0.691
"G3P920","G3PVG3","69293.ENSGACP00000014094","69293.ENSGACP00000021600",0,0,0,0,0.047,0,0.504,0,0.507
"G3P920","G3PCE1","69293.ENSGACP00000014094","69293.ENSGACP00000015265",0,0,0,0,0.051,0.161,0.339,0.223,0.536
"G3P920","G3PP78","69293.ENSGACP00000014094","69293.ENSGACP00000019411",0,0,0,0,0.05,0,0.621,0.055,0.63
"G3P920","G3Q4Z0","69293.ENSGACP00000014094","69293.ENSGACP00000024944",0,0,0,0,0.044,0.245,0.37,0.315,0.646
"G3P920","G3Q393","69293.ENSGACP00000014094","69293.ENSGACP00000024345",0,0,0,0,0.108,0,0.621,0.109,0.672
"G3P970","G3PFE7","69293.ENSGACP00000014144","69293.ENSGACP00000016321",0,0,0,0,0.05,0,0.506,0,0.51
"G3P970","G3PP78","69293.ENSGACP00000014144","69293.ENSGACP00000019411",0,0,0,0,0,0,0.506,0.097,0.534
"G3P970","G3PCE2","69293.ENSGACP00000014144","69293.ENSGACP00000015266",0,0,0,0.927,0.342,0,0.381,0.661,0.595
"G3P9S4","G3PPN8","69293.ENSGACP00000014348","69293.ENSGACP00000019573",0,0,0,0,0.286,0,0,0.273,0.458
"G3PA34","G3QCC3","69293.ENSGACP00000014458","69293.ENSGACP00000027539",0,0,0,0,0.054,0.294,0.143,0.077,0.401
"G3PA34","G3PHA5","69293.ENSGACP00000014458","69293.ENSGACP00000016980",0.084,0,0,0,0.569,0.726,0.366,0.09,0.926
"G3PA34","G3PJ10","69293.ENSGACP00000014458","69293.ENSGACP00000017589",0,0,0,0,0.726,0.87,0.507,0.058,0.981
"G3PA34","G3PDV0","69293.ENSGACP00000014458","69293.ENSGACP00000015774",0.083,0,0,0,0.962,0.892,0.621,0.096,0.998
"G3PA34","G3PCG6","69293.ENSGACP00000014458","69293.ENSGACP00000015290",0,0,0,0,0.962,0.892,0.621,0.15,0.998
"G3PA34","G3Q972","69293.ENSGACP00000014458","69293.ENSGACP00000026436",0.088,0,0,0,0.992,0.892,0.621,0.097,0.999
"G3PA34","G3PQX4","69293.ENSGACP00000014458","69293.ENSGACP00000020009",0,0,0,0,0.992,0.892,0.621,0.223,0.999
"G3PA34","G3PP08","69293.ENSGACP00000014458","69293.ENSGACP00000019341",0.066,0,0,0,0.992,0.892,0.621,0.134,0.999
"G3PCE1","G3Q4Z0","69293.ENSGACP00000015265","69293.ENSGACP00000024944",0,0,0,0.922,0.211,0.408,0.204,0.129,0.598
"G3PCG6","G3QBU5","69293.ENSGACP00000015290","69293.ENSGACP00000027361",0,0,0,0,0.159,0.051,0,0.416,0.493
"G3PCG6","G3Q0N5","69293.ENSGACP00000015290","69293.ENSGACP00000023430",0,0,0,0,0.159,0.051,0,0.416,0.493
"G3PCG6","G3PJV6","69293.ENSGACP00000015290","69293.ENSGACP00000017886",0,0,0,0,0.094,0.108,0.427,0.108,0.531
"G3PCG6","G3Q3Z6","69293.ENSGACP00000015290","69293.ENSGACP00000024600",0,0,0,0,0.054,0,0.621,0,0.626
"G3PCG6","G3PHA5","69293.ENSGACP00000015290","69293.ENSGACP00000016980",0,0,0,0,0.321,0.726,0.366,0.068,0.875
"G3PCG6","G3PJ10","69293.ENSGACP00000015290","69293.ENSGACP00000017589",0,0,0,0,0.75,0.87,0.507,0.084,0.983
"G3PCG6","G3Q972","69293.ENSGACP00000015290","69293.ENSGACP00000026436",0,0,0,0,0.962,0.892,0.621,0,0.998
"G3PCG6","G3PDV0","69293.ENSGACP00000015290","69293.ENSGACP00000015774",0,0,0,0,0.923,0.892,0.621,0.45,0.998
"G3PCG6","G3PP08","69293.ENSGACP00000015290","69293.ENSGACP00000019341",0,0,0,0,0.962,0.892,0.621,0.285,0.998
"G3PCG6","G3PQX4","69293.ENSGACP00000015290","69293.ENSGACP00000020009",0,0,0,0,0.962,0.892,0.621,0.534,0.999
"G3PDV0","G3QCC3","69293.ENSGACP00000015774","69293.ENSGACP00000027539",0,0,0,0,0.105,0.327,0.175,0,0.459
"G3PDV0","G3PLE8","69293.ENSGACP00000015774","69293.ENSGACP00000018429",0,0,0,0,0.762,0.096,0,0.117,0.793
"G3PDV0","G3PP78","69293.ENSGACP00000015774","69293.ENSGACP00000019411",0,0,0,0,0.812,0,0,0.112,0.825
"G3PDV0","G3PHA5","69293.ENSGACP00000015774","69293.ENSGACP00000016980",0.103,0,0,0,0.77,0.726,0.366,0.279,0.969
"G3PDV0","G3PJ10","69293.ENSGACP00000015774","69293.ENSGACP00000017589",0,0,0,0,0.702,0.861,0.506,0.538,0.989
"G3PDV0","G3PQX4","69293.ENSGACP00000015774","69293.ENSGACP00000020009",0,0,0,0,0.962,0.892,0.621,0.204,0.998
"G3PDV0","G3Q972","69293.ENSGACP00000015774","69293.ENSGACP00000026436",0.148,0,0,0,0.992,0.892,0.621,0.665,0.999
"G3PDV0","G3PP08","69293.ENSGACP00000015774","69293.ENSGACP00000019341",0.148,0,0,0,0.992,0.892,0.621,0.44,0.999
"G3PHA5","G3Q162","69293.ENSGACP00000016980","69293.ENSGACP00000023610",0,0,0,0,0.143,0,0.366,0,0.433
"G3PHA5","G3PJV6","69293.ENSGACP00000016980","69293.ENSGACP00000017886",0,0,0,0,0.221,0,0.305,0.278,0.574
"G3PHA5","G3PP78","69293.ENSGACP00000016980","69293.ENSGACP00000019411",0,0,0,0,0.553,0.136,0.043,0.167,0.65
"G3PHA5","G3PLE8","69293.ENSGACP00000016980","69293.ENSGACP00000018429",0,0,0,0,0.622,0,0,0.313,0.729
"G3PHA5","G3PJ10","69293.ENSGACP00000016980","69293.ENSGACP00000017589",0,0,0,0,0.211,0.691,0.315,0.067,0.823
"G3PHA5","G3PQX4","69293.ENSGACP00000016980","69293.ENSGACP00000020009",0,0,0,0,0.76,0.709,0.377,0,0.952
"G3PHA5","G3PP08","69293.ENSGACP00000016980","69293.ENSGACP00000019341",0.078,0,0,0,0.763,0.726,0.366,0.054,0.957
"G3PHA5","G3Q972","69293.ENSGACP00000016980","69293.ENSGACP00000026436",0.093,0,0,0,0.765,0.726,0.366,0.135,0.962
"G3PJ10","G3PQX4","69293.ENSGACP00000017589","69293.ENSGACP00000020009",0,0,0,0,0.74,0.87,0.508,0.509,0.99
"G3PJ10","G3Q972","69293.ENSGACP00000017589","69293.ENSGACP00000026436",0,0,0,0,0.759,0.87,0.505,0.507,0.991
"G3PJ10","G3PP08","69293.ENSGACP00000017589","69293.ENSGACP00000019341",0,0,0,0,0.814,0.87,0.506,0.451,0.992
"G3PJV6","G3Q4Z0","69293.ENSGACP00000017886","69293.ENSGACP00000024944",0,0,0,0,0.054,0.098,0.29,0.167,0.427
"G3PJV6","G3Q162","69293.ENSGACP00000017886","69293.ENSGACP00000023610",0,0,0,0,0.095,0.133,0.305,0.077,0.429
"G3PJV6","G3PP78","69293.ENSGACP00000017886","69293.ENSGACP00000019411",0,0,0,0,0.541,0.202,0,0.229,0.692
"G3PJV6","G3PLE8","69293.ENSGACP00000017886","69293.ENSGACP00000018429",0,0,0,0,0.095,0.451,0,0.439,0.696
"G3PKP7","G3PLE8","69293.ENSGACP00000018177","69293.ENSGACP00000018429",0,0,0,0,0.69,0,0.248,0.283,0.818
"G3PKP7","G3PM61","69293.ENSGACP00000018177","69293.ENSGACP00000018692",0,0,0,0,0.692,0.776,0.366,0.452,0.972
"G3PKP7","G3PPN8","69293.ENSGACP00000018177","69293.ENSGACP00000019573",0,0,0.2,0,0.69,0.82,0.52,0.463,0.986
"G3PLE8","G3PPN8","69293.ENSGACP00000018429","69293.ENSGACP00000019573",0.044,0,0,0,0.334,0.142,0.199,0.393,0.685
"G3PLE8","G3PM61","69293.ENSGACP00000018429","69293.ENSGACP00000018692",0,0,0,0,0.717,0,0,0.641,0.894
"G3PLE8","G3QBU5","69293.ENSGACP00000018429","69293.ENSGACP00000027361",0,0,0,0,0.691,0.129,0.365,0.577,0.918
"G3PLE8","G3Q0N5","69293.ENSGACP00000018429","69293.ENSGACP00000023430",0,0,0,0,0.691,0.129,0.365,0.577,0.918
"G3PLE8","G3PQL2","69293.ENSGACP00000018429","69293.ENSGACP00000019897",0,0,0,0,0.164,0.883,0.621,0.478,0.978
"G3PM61","G3PQL2","69293.ENSGACP00000018692","69293.ENSGACP00000019897",0,0,0,0,0.343,0.155,0,0.089,0.45
"G3PM61","G3Q0N5","69293.ENSGACP00000018692","69293.ENSGACP00000023430",0,0,0,0,0.53,0.075,0,0.125,0.586
"G3PM61","G3QBU5","69293.ENSGACP00000018692","69293.ENSGACP00000027361",0,0,0,0,0.53,0.075,0,0.125,0.586
"G3PM61","G3PPN8","69293.ENSGACP00000018692","69293.ENSGACP00000019573",0.084,0,0,0,0.617,0.614,0.315,0.325,0.925
"G3PP08","G3Q0N5","69293.ENSGACP00000019341","69293.ENSGACP00000023430",0,0,0,0,0.209,0.299,0,0.131,0.476
"G3PP08","G3QBU5","69293.ENSGACP00000019341","69293.ENSGACP00000027361",0,0,0,0,0.209,0.299,0,0.131,0.476
"G3PP08","G3PP78","69293.ENSGACP00000019341","69293.ENSGACP00000019411",0,0,0,0,0.791,0,0,0,0.791
"G3PP08","G3Q972","69293.ENSGACP00000019341","69293.ENSGACP00000026436",0.105,0,0,0,0.992,0.892,0.621,0.351,0.999
"G3PP08","G3PQX4","69293.ENSGACP00000019341","69293.ENSGACP00000020009",0,0,0,0,0.992,0.892,0.621,0.693,0.999
"G3PP78","G3Q4Z0","69293.ENSGACP00000019411","69293.ENSGACP00000024944",0,0,0,0,0.054,0.132,0.365,0,0.433
"G3PP78","G3Q972","69293.ENSGACP00000019411","69293.ENSGACP00000026436",0,0,0,0,0.569,0,0,0.11,0.6
"G3PP78","G3PQX4","69293.ENSGACP00000019411","69293.ENSGACP00000020009",0,0,0,0,0.611,0,0,0.287,0.71
"G3PPN8","G3Q0N5","69293.ENSGACP00000019573","69293.ENSGACP00000023430",0,0,0,0,0.054,0,0,0.394,0.402
"G3PPN8","G3QBU5","69293.ENSGACP00000019573","69293.ENSGACP00000027361",0,0,0,0,0.054,0,0,0.394,0.402
"G3PQL2","G3Q6T4","69293.ENSGACP00000019897","69293.ENSGACP00000025594",0,0,0,0,0,0,0,0.462,0.461
"G3PQX4","G3Q0N5","69293.ENSGACP00000020009","69293.ENSGACP00000023430",0,0,0,0,0.181,0.412,0,0,0.497
"G3PQX4","G3QBU5","69293.ENSGACP00000020009","69293.ENSGACP00000027361",0,0,0,0,0.181,0.412,0,0,0.497
"G3PQX4","G3Q972","69293.ENSGACP00000020009","69293.ENSGACP00000026436",0,0,0,0,0.991,0.892,0.621,0.435,0.999
"G3PVK4","G3Q3X8","69293.ENSGACP00000021643","69293.ENSGACP00000024582",0,0,0,0.978,0,0,0.536,0.645,0.542
"G3PYU1","G3Q2Y3","69293.ENSGACP00000022781","69293.ENSGACP00000024232",0,0,0,0,0.05,0,0.519,0.067,0.536
"G3PYU1","G3Q393","69293.ENSGACP00000022781","69293.ENSGACP00000024345",0,0,0,0,0.05,0,0.621,0.042,0.624
"G3Q0N5","G3QBU5","69293.ENSGACP00000023430","69293.ENSGACP00000027361",0,0,0,0.983,0,0,0.866,0.463,0.867
"G3Q162","G3Q289","69293.ENSGACP00000023610","69293.ENSGACP00000023988",0,0,0,0,0.043,0.28,0.238,0,0.429
"G3Q2Y3","G3Q393","69293.ENSGACP00000024232","69293.ENSGACP00000024345",0,0,0,0,0.054,0,0.519,0.045,0.527
"G3Q972","G3QCC3","69293.ENSGACP00000026436","69293.ENSGACP00000027539",0,0,0,0,0.071,0.312,0.175,0.042,0.427
"G3QBL0","G3QCC3","69293.ENSGACP00000027276","69293.ENSGACP00000027539",0,0,0,0,0.147,0.324,0.129,0.127,0.502
